inventoryid,store,city,brand,description,size,onhand,price,enddate
1_HARDERSFIELD_58,1,HARDERSFIELD,58,Gekkeikan Black & Gold Sake,750mL,11,12.99,2016-12-31
1_HARDERSFIELD_62,1,HARDERSFIELD,62,Herradura Silver Tequila,750mL,7,36.99,2016-12-31
1_HARDERSFIELD_63,1,HARDERSFIELD,63,Herradura Reposado Tequila,750mL,7,38.99,2016-12-31
1_HARDERSFIELD_72,1,HARDERSFIELD,72,No. 3 London Dry Gin,750mL,4,34.99,2016-12-31
1_HARDERSFIELD_75,1,HARDERSFIELD,75,Three Olives Tomato Vodka,750mL,7,14.99,2016-12-31
1_HARDERSFIELD_77,1,HARDERSFIELD,77,Three Olives Espresso Vodka,750mL,18,14.99,2016-12-31
1_HARDERSFIELD_79,1,HARDERSFIELD,79,Three Olives Loopy Vodka,750mL,7,14.99,2016-12-31
1_HARDERSFIELD_115,1,HARDERSFIELD,115,Belvedere Vodka,Liter,35,27.99,2016-12-31
1_HARDERSFIELD_126,1,HARDERSFIELD,126,Grey Goose Vodka,Liter,36,29.99,2016-12-31
1_HARDERSFIELD_159,1,HARDERSFIELD,159,Glenmorangie Original VAP,750mL + 2/,8,34.99,2016-12-31
1_HARDERSFIELD_171,1,HARDERSFIELD,171,Gentleman Jack,1.75L,24,49.99,2016-12-31
1_HARDERSFIELD_175,1,HARDERSFIELD,175,1800 Anejo Tequila,750mL,10,41.99,2016-12-31
1_HARDERSFIELD_178,1,HARDERSFIELD,178,W Turkey Russell's RSV 10 Yr,750mL,6,26.99,2016-12-31
1_HARDERSFIELD_192,1,HARDERSFIELD,192,Milagro Anejo Tequila,750mL,5,35.99,2016-12-31
1_HARDERSFIELD_200,1,HARDERSFIELD,200,Luxardo Maraschino Liqueur,750mL,3,29.99,2016-12-31
1_HARDERSFIELD_211,1,HARDERSFIELD,211,Cold River Gin,750mL,7,29.99,2016-12-31
1_HARDERSFIELD_233,1,HARDERSFIELD,233,Tullamore Dew 12 Yr Old,750mL,11,42.99,2016-12-31
1_HARDERSFIELD_254,1,HARDERSFIELD,254,DeKuyper Root Beer Schnapps,Liter,11,10.99,2016-12-31
1_HARDERSFIELD_261,1,HARDERSFIELD,261,Svedka Citron Vodka,Liter,8,12.99,2016-12-31
1_HARDERSFIELD_271,1,HARDERSFIELD,271,Wild Shot Silver Mezcal,750mL,5,35.99,2016-12-31
1_HARDERSFIELD_273,1,HARDERSFIELD,273,Sauza Extra Gold Tequila,1.75L,46,21.99,2016-12-31
1_HARDERSFIELD_284,1,HARDERSFIELD,284,Milagro Tequila Anejo SBR,750mL,8,77.99,2016-12-31
1_HARDERSFIELD_288,1,HARDERSFIELD,288,The Bitter Truth Pink Gin,750mL,5,29.99,2016-12-31
1_HARDERSFIELD_290,1,HARDERSFIELD,290,Aberlour A'Bunadh Sngle Malt,750mL,5,74.99,2016-12-31
1_HARDERSFIELD_294,1,HARDERSFIELD,294,Old Mexico Gold Tequila,Liter,96,8.49,2016-12-31
1_HARDERSFIELD_305,1,HARDERSFIELD,305,Crown Royal Canadian Whisky,Liter,11,27.99,2016-12-31
1_HARDERSFIELD_311,1,HARDERSFIELD,311,The Glenlivet w/2 50mLs Pak,750mL,11,42.99,2016-12-31
1_HARDERSFIELD_344,1,HARDERSFIELD,344,Punt e Mes Sweet Vermouth,750mL,7,19.99,2016-12-31
1_HARDERSFIELD_361,1,HARDERSFIELD,361,Effen Cucumber Vodka,750mL,10,19.99,2016-12-31
1_HARDERSFIELD_376,1,HARDERSFIELD,376,Aperol Liqueur,750mL,11,28.99,2016-12-31
1_HARDERSFIELD_377,1,HARDERSFIELD,377,Hendrick's Gin,Liter,2,37.99,2016-12-31
1_HARDERSFIELD_381,1,HARDERSFIELD,381,Baileys Irish Cream w/2 Mugs,750mL,0,19.99,2016-12-31
1_HARDERSFIELD_384,1,HARDERSFIELD,384,Ardbeg Corryvreckan Scotch,750mL,6,69.99,2016-12-31
1_HARDERSFIELD_388,1,HARDERSFIELD,388,Smirnoff 80 Proof,Liter,21,14.49,2016-12-31
1_HARDERSFIELD_408,1,HARDERSFIELD,408,Wild Turkey American Honey,750mL,40,19.99,2016-12-31
1_HARDERSFIELD_415,1,HARDERSFIELD,415,Jose Cuervo Especial,Liter,24,21.99,2016-12-31
1_HARDERSFIELD_419,1,HARDERSFIELD,419,Absolut Citron,Liter,16,19.99,2016-12-31
1_HARDERSFIELD_425,1,HARDERSFIELD,425,Hennessy Paradis,750mL,1,799.99,2016-12-31
1_HARDERSFIELD_426,1,HARDERSFIELD,426,Crystal Head Vodka,50mL,5,7.99,2016-12-31
1_HARDERSFIELD_435,1,HARDERSFIELD,435,Il Tramonto Limoncello,750mL,29,15.99,2016-12-31
1_HARDERSFIELD_438,1,HARDERSFIELD,438,Licor 43 Vanilla Liqueur,750mL,18,17.99,2016-12-31
1_HARDERSFIELD_443,1,HARDERSFIELD,443,St Germain Liqueur,750mL,23,34.99,2016-12-31
1_HARDERSFIELD_450,1,HARDERSFIELD,450,Vincent Van Gogh Double Esp,750mL,6,24.99,2016-12-31
1_HARDERSFIELD_463,1,HARDERSFIELD,463,Kirk & Sweeney 12Yr Old Rum,750mL,9,33.99,2016-12-31
1_HARDERSFIELD_482,1,HARDERSFIELD,482,Absolut 80 Proof,Liter,35,21.99,2016-12-31
1_HARDERSFIELD_485,1,HARDERSFIELD,485,Seagrams 7 Crown,Liter,11,12.99,2016-12-31
1_HARDERSFIELD_497,1,HARDERSFIELD,497,Capt Morgan Spiced Rum,Liter,39,19.99,2016-12-31
1_HARDERSFIELD_508,1,HARDERSFIELD,508,Bacardi Superior Rum,Liter,57,15.49,2016-12-31
1_HARDERSFIELD_513,1,HARDERSFIELD,513,Ocean Vodka,750mL,7,29.99,2016-12-31
1_HARDERSFIELD_515,1,HARDERSFIELD,515,Hirsch Selection Bourbon,750mL,6,34.99,2016-12-31
1_HARDERSFIELD_523,1,HARDERSFIELD,523,Castello Del Poggio Moscato,750mL,22,9.99,2016-12-31
1_HARDERSFIELD_525,1,HARDERSFIELD,525,El Tesoro Anejo Gold Tequil,750mL,9,39.99,2016-12-31
1_HARDERSFIELD_533,1,HARDERSFIELD,533,Berkshire Mtn Ragged Mtn Rum,750mL,8,28.99,2016-12-31
1_HARDERSFIELD_536,1,HARDERSFIELD,536,Svedka Cherry Vodka,Liter,8,12.99,2016-12-31
1_HARDERSFIELD_538,1,HARDERSFIELD,538,Amaretto DiSaronno,375mL,20,13.99,2016-12-31
1_HARDERSFIELD_539,1,HARDERSFIELD,539,Bowman's Vodka,Liter,12,5.79,2016-12-31
1_HARDERSFIELD_561,1,HARDERSFIELD,561,Berkshire Mtn Ice Glen Vodka,750mL,5,28.99,2016-12-31
1_HARDERSFIELD_563,1,HARDERSFIELD,563,Berkshire Mtn Greylock Gin,750mL,8,28.99,2016-12-31
1_HARDERSFIELD_567,1,HARDERSFIELD,567,Ketel One Vodka,Liter,22,28.99,2016-12-31
1_HARDERSFIELD_597,1,HARDERSFIELD,597,Baileys Irish Cream,Liter,14,27.99,2016-12-31
1_HARDERSFIELD_605,1,HARDERSFIELD,605,Alate Kosher Wine,750mL,5,14.99,2016-12-31
1_HARDERSFIELD_649,1,HARDERSFIELD,649,Sauza Tres Generaciones Pla,750mL,11,39.99,2016-12-31
1_HARDERSFIELD_652,1,HARDERSFIELD,652,Frangelico Gift Pack 2 Glass,750mL,6,21.99,2016-12-31
1_HARDERSFIELD_653,1,HARDERSFIELD,653,Dom de Canton Ginger Liqueur,750mL,7,37.99,2016-12-31
1_HARDERSFIELD_659,1,HARDERSFIELD,659,Rhum Barbancourt Estate RSV,750mL,4,33.99,2016-12-31
1_HARDERSFIELD_661,1,HARDERSFIELD,661,Red Stag by Jim Beam,750mL,21,14.99,2016-12-31
1_HARDERSFIELD_664,1,HARDERSFIELD,664,Ardbeg Uigeadail Scotch,750mL,4,73.99,2016-12-31
1_HARDERSFIELD_669,1,HARDERSFIELD,669,Robert Sinskey Merlot,750mL,5,39.99,2016-12-31
1_HARDERSFIELD_676,1,HARDERSFIELD,676,Pinnacle Whipped Vodka,750mL,19,9.99,2016-12-31
1_HARDERSFIELD_680,1,HARDERSFIELD,680,Midnight Moon Strawberry,750mL,16,19.99,2016-12-31
1_HARDERSFIELD_686,1,HARDERSFIELD,686,Midnight Moon Cherry,750mL,11,19.99,2016-12-31
1_HARDERSFIELD_693,1,HARDERSFIELD,693,Svedka Vanilla Vodka,Liter,4,12.99,2016-12-31
1_HARDERSFIELD_700,1,HARDERSFIELD,700,Hiram Walker Cr de Cacao Br,Liter,4,8.29,2016-12-31
1_HARDERSFIELD_715,1,HARDERSFIELD,715,Hiram Walker Cr de Cacao Wh,Liter,6,8.29,2016-12-31
1_HARDERSFIELD_728,1,HARDERSFIELD,728,George Dickel Barrel Select,750mL,12,43.99,2016-12-31
1_HARDERSFIELD_742,1,HARDERSFIELD,742,DeKuyper Spearmint Schnapps,Liter,6,12.99,2016-12-31
1_HARDERSFIELD_749,1,HARDERSFIELD,749,Stolichnaya Hot Vodka,750mL,5,9.99,2016-12-31
1_HARDERSFIELD_753,1,HARDERSFIELD,753,LaBelle Winery Blueberry,750mL,16,19.99,2016-12-31
1_HARDERSFIELD_757,1,HARDERSFIELD,757,Jim Beam Rye,750mL,16,18.99,2016-12-31
1_HARDERSFIELD_759,1,HARDERSFIELD,759,Bunnahabhain 12 Yr Single,750mL,6,59.99,2016-12-31
1_HARDERSFIELD_779,1,HARDERSFIELD,779,Svedka Raspberry Vodka,Liter,8,12.99,2016-12-31
1_HARDERSFIELD_780,1,HARDERSFIELD,780,Svedka Clementine Vodka,Liter,13,12.99,2016-12-31
1_HARDERSFIELD_782,1,HARDERSFIELD,782,Remy Martin 1738 Accord Ryl,750mL,4,46.99,2016-12-31
1_HARDERSFIELD_802,1,HARDERSFIELD,802,Bacardi Torched Cherry Rum,750mL,10,9.99,2016-12-31
1_HARDERSFIELD_807,1,HARDERSFIELD,807,Jim Beam,Liter,24,17.99,2016-12-31
1_HARDERSFIELD_809,1,HARDERSFIELD,809,Southern Comfort,Liter,8,19.99,2016-12-31
1_HARDERSFIELD_811,1,HARDERSFIELD,811,Jack Daniels No 7 Black,Liter,16,27.99,2016-12-31
1_HARDERSFIELD_812,1,HARDERSFIELD,812,Jagermeister Liqueur,Liter,28,20.99,2016-12-31
1_HARDERSFIELD_821,1,HARDERSFIELD,821,Grand Marnier,Liter,21,38.99,2016-12-31
1_HARDERSFIELD_822,1,HARDERSFIELD,822,Tanqueray,Liter,17,26.99,2016-12-31
1_HARDERSFIELD_824,1,HARDERSFIELD,824,Dewars White Label Scotch,Liter,16,26.99,2016-12-31
1_HARDERSFIELD_828,1,HARDERSFIELD,828,Bols Sloe Gin,Liter,15,9.99,2016-12-31
1_HARDERSFIELD_831,1,HARDERSFIELD,831,Bols Green Creme De Menthe,Liter,16,9.99,2016-12-31
1_HARDERSFIELD_836,1,HARDERSFIELD,836,Bols Creme de Cassis,Liter,11,9.99,2016-12-31
1_HARDERSFIELD_838,1,HARDERSFIELD,838,Bols Cherry Flavored Brandy,Liter,14,10.99,2016-12-31
1_HARDERSFIELD_854,1,HARDERSFIELD,854,Seagrams VO Canadian Whiskey,Liter,12,15.99,2016-12-31
1_HARDERSFIELD_856,1,HARDERSFIELD,856,Chinaco Blanco Tequila,750mL,19,29.99,2016-12-31
1_HARDERSFIELD_857,1,HARDERSFIELD,857,Kahlua,Liter,60,22.99,2016-12-31
1_HARDERSFIELD_858,1,HARDERSFIELD,858,Canadian Club,Liter,10,11.99,2016-12-31
1_HARDERSFIELD_859,1,HARDERSFIELD,859,Beefeater Gin,Liter,18,22.99,2016-12-31
1_HARDERSFIELD_870,1,HARDERSFIELD,870,Carpano Antica Formula,Liter,4,29.99,2016-12-31
1_HARDERSFIELD_876,1,HARDERSFIELD,876,DeKuyper Creme de Cacao Whit,Liter,20,8.99,2016-12-31
1_HARDERSFIELD_883,1,HARDERSFIELD,883,Patron Burdeos Anejo Tequila,750mL,2,499.99,2016-12-31
