inventoryid,store,city,brand,description,size,onhand,price,enddate
78_EASTHAVEN_25021,78,EASTHAVEN,25021,Mark West Black Pnt Nr,750mL,7,10.99,2016-12-31
65_LUTON_18152,65,LUTON,18152,Banfi Centine Mntcln Tscna,750mL,18,9.99,2016-12-31
67_EANVERNESS_24930,67,EANVERNESS,24930,L'Ecole No 41 Cab 12 Walla W,750mL,9,42.99,2016-12-31
34_PITMERDEN_27515,34,PITMERDEN,27515,Clos du Bois RSV Chard RRV,750mL,12,13.99,2016-12-31
53_HILLFAR_3556,53,HILLFAR,3556,Hard Rock Vodka,1.75L,0,12.99,2016-12-31
46__16806,46,,16806,Apothic Winemakers White,750mL,0,7.99,2016-12-31
7_STANMORE_8130,7,STANMORE,8130,Bacardi Superior Rum,50mL,39,1.29,2016-12-31
73_DONCASTER_30735,73,DONCASTER,30735,Sonoma-Cutrer Cutrer V Chard,750mL,22,28.99,2016-12-31
50_MOUNTMEND_17617,50,MOUNTMEND,17617,Nostor Tinto Priorat,750mL,25,15.99,2016-12-31
21_BALERNO_2663,21,BALERNO,2663,Dewars White Label,1.75L,114,29.99,2016-12-31
30_CULCHETH_3437,30,CULCHETH,3437,Bombay Dry Gin,750mL,5,17.99,2016-12-31
52_GRAYCOTT_8258,52,GRAYCOTT,8258,Campari,750mL,8,29.99,2016-12-31
81_PEMBROKE_22039,81,PEMBROKE,22039,Ghost Pines Pnt Nr L Martini,750mL,17,17.99,2016-12-31
63_SWORDBREAK_30602,63,SWORDBREAK,30602,Zardetto Prosecco Conegliano,750mL,11,12.99,2016-12-31
41_LARNWICK_4979,41,LARNWICK,4979,Patron Silver Tequila,Liter,39,69.99,2016-12-31
33_HORNSEY_4233,33,HORNSEY,4233,Castillo Silver Label Rum,1.75L,19,10.99,2016-12-31
34_PITMERDEN_26534,34,PITMERDEN,26534,Lazzaroni Dry Marsala,750mL,6,8.99,2016-12-31
43_WOLFORD_8788,43,WOLFORD,8788,Stolichnaya,50mL,45,1.99,2016-12-31
61_AETHELNEY_6984,61,AETHELNEY,6984,Kendall Jackson Vntrs RSV Me,750mL,22,15.99,2016-12-31
66_EANVERNESS_2672,66,EANVERNESS,2672,Dewars White Label,50mL,124,2.29,2016-12-31
6_GOULCREST_6859,6,GOULCREST,6859,C Y Toro Frontera Chard,1.5L,7,10.99,2016-12-31
62_KILMARNOCK_26456,62,KILMARNOCK,26456,Ravenswood Vntnrs Blnd Chard,750mL,28,7.99,2016-12-31
46__5134,46,,5134,Dr McGillicuddy's Cherry,750mL,0,13.99,2016-12-31
23_ARBINGTON_2979,23,ARBINGTON,2979,Bowmore 12-Yr Scotch,750mL,5,44.99,2016-12-31
61_AETHELNEY_3826,61,AETHELNEY,3826,Skyy Vodka,1.75L,70,19.99,2016-12-31
32_MOUNTMEND_6980,32,MOUNTMEND,6980,Midnight Moon Blueberry,750mL,23,19.99,2016-12-31
63_SWORDBREAK_1545,63,SWORDBREAK,1545,Gentleman Jack,750mL,15,28.99,2016-12-31
35_HALIVAARA_2196,35,HALIVAARA,2196,Canadian Hunter Whiskey,1.75L,14,11.99,2016-12-31
53_HILLFAR_11828,53,HILLFAR,11828,Cupcake Svgn Bl,750mL,41,7.49,2016-12-31
21_BALERNO_1396,21,BALERNO,1396,Old Crow,1.75L,15,15.99,2016-12-31
25_CAERSHIRE_27163,25,CAERSHIRE,27163,Rio Madre 14 Rioja Tempranlo,750mL,8,10.99,2016-12-31
1_HARDERSFIELD_23387,1,HARDERSFIELD,23387,Middle Sister Malbec,750mL,24,9.99,2016-12-31
53_HILLFAR_44038,53,HILLFAR,44038,Barefoot Pnt Grigio Cal,1.5L,12,10.99,2016-12-31
70_KELD_33819,70,KELD,33819,Sokol Blosser Evolution Whit,750mL,8,15.99,2016-12-31
75_BARNCOMBE_8617,75,BARNCOMBE,8617,Bacardi Black,750mL,0,9.99,2016-12-31
38_GOULCREST_1468,38,GOULCREST,1468,Knob Creek Single Barrel Rsv,750mL,19,41.99,2016-12-31
9_BLACKPOOL_24188,9,BLACKPOOL,24188,St Francis Cab Svgn Sonoma,750mL,25,15.99,2016-12-31
67_EANVERNESS_29616,67,EANVERNESS,29616,Kermit Lynch Cotes du Rhone,750mL,15,13.99,2016-12-31
71_CLARCTON_21379,71,CLARCTON,21379,Alhambra Red Blend,750mL,10,13.99,2016-12-31
34_PITMERDEN_20724,34,PITMERDEN,20724,Chronic C Spritz and Giggles,750mL,25,14.99,2016-12-31
59_CLAETHORPES_12478,59,CLAETHORPES,12478,Commanderie Bargmn Prov Rose,750mL,0,18.99,2016-12-31
21_BALERNO_19258,21,BALERNO,19258,The Beach House Chard,750mL,5,11.99,2016-12-31
67_EANVERNESS_23519,67,EANVERNESS,23519,Slow Press Chard,750mL,129,7.49,2016-12-31
79_BALLYMENA_36859,79,BALLYMENA,36859,Brancott Pnt Nr Marlboro,750mL,47,9.99,2016-12-31
20_BREDWARDINE_792,20,BREDWARDINE,792,Atlantico Platino Rum,750mL,4,19.99,2016-12-31
32_MOUNTMEND_1389,32,MOUNTMEND,1389,Makers Mark,50mL,100,2.99,2016-12-31
60_IRRAGIN_126,60,IRRAGIN,126,Grey Goose Vodka,Liter,29,29.99,2016-12-31
74_PAENTMARWY_43652,74,PAENTMARWY,43652,Barbera d'Alba Alessandria,750mL,11,21.99,2016-12-31
34_PITMERDEN_25254,34,PITMERDEN,25254,Ch des Perligues Graves,750mL,14,12.99,2016-12-31
51_ABERDEEN_3137,51,ABERDEEN,3137,Three Olives Blueberry Vodka,50mL,0,0.99,2016-12-31
27_MOUNTMEND_8367,27,MOUNTMEND,8367,Carlo Rossi Rhine Calif,4L,4,14.99,2016-12-31
43_WOLFORD_32968,43,WOLFORD,32968,Alice White Chard Ausl,1.5L,12,13.99,2016-12-31
38_GOULCREST_23828,38,GOULCREST,23828,Ermisch Pnt Nr Erendira Rise,750mL,14,35.99,2016-12-31
26_KNIFE'S EDGE_4313,26,KNIFE'S EDGE,4313,Sauza Blue Silver Tequila,1.75L,2,26.99,2016-12-31
21_BALERNO_513,21,BALERNO,513,Ocean Vodka,750mL,3,29.99,2016-12-31
74_PAENTMARWY_22928,74,PAENTMARWY,22928,Desert Wind Ruah Red,750mL,10,21.99,2016-12-31
33_HORNSEY_1655,33,HORNSEY,1655,WhistlePig 15 Yr Old Rye,750mL,2,198.99,2016-12-31
74_PAENTMARWY_3773,74,PAENTMARWY,3773,General John Stark Vodka,750mL,33,32.99,2016-12-31
13_TARMSWORTH_1233,13,TARMSWORTH,1233,Jack Daniels No 7 Black,1.75L,105,34.99,2016-12-31
33_HORNSEY_32796,33,HORNSEY,32796,Warre's Otima 10-Yr Tawny,500mL,7,19.99,2016-12-31
63_SWORDBREAK_24779,63,SWORDBREAK,24779,Straccali Chianti,1.5L,9,9.99,2016-12-31
76_DONCASTER_18797,76,DONCASTER,18797,Hess Shirttail Crk Vyd Chard,750mL,12,12.49,2016-12-31
43_WOLFORD_20731,43,WOLFORD,20731,Villa Jolanda Strwby Moscato,750mL,4,9.99,2016-12-31
34_PITMERDEN_19381,34,PITMERDEN,19381,O Wines Chard,750mL,11,9.99,2016-12-31
62_KILMARNOCK_34134,62,KILMARNOCK,34134,Turning Leaf RSV Chard Cal,1.5L,12,10.99,2016-12-31
38_GOULCREST_12109,38,GOULCREST,12109,La Crema Pnt Nr Monterey,750mL,14,18.99,2016-12-31
21_BALERNO_25887,21,BALERNO,25887,Joel Gott Merlot,750mL,10,13.99,2016-12-31
76_DONCASTER_23107,76,DONCASTER,23107,Duckhorn Howell Mtn Cab Svgn,1.5L,4,169.99,2016-12-31
69_MOUNTMEND_34133,69,MOUNTMEND,34133,Turning Leaf RSV Cab Svgn,1.5L,10,10.99,2016-12-31
76_DONCASTER_26645,76,DONCASTER,26645,Darting Rsl Kab,Liter,22,16.99,2016-12-31
4_EANVERNESS_27514,4,EANVERNESS,27514,Clos du Bois RSV Cab Svgn,750mL,2,17.99,2016-12-31
68_SOLARIS_1728,68,SOLARIS,1728,Aberlour 16 Year Old Single,750mL,3,59.99,2016-12-31
10_HORNSEY_4091,10,HORNSEY,4091,Mount Gay Black Barrel Rum,750mL,6,27.99,2016-12-31
1_HARDERSFIELD_28775,1,HARDERSFIELD,28775,C K Mondavi Merlot,1.5L,13,12.99,2016-12-31
74_PAENTMARWY_11915,74,PAENTMARWY,11915,Sequoia Grove Cab Svgn,750mL,12,31.99,2016-12-31
41_LARNWICK_27596,41,LARNWICK,27596,MezzaCorona Pnt Grigio,750mL,5,7.99,2016-12-31
65_LUTON_24493,65,LUTON,24493,Buehler Cab Svgn Napa,750mL,15,26.99,2016-12-31
6_GOULCREST_15550,6,GOULCREST,15550,Talbott Pnt Nr Santa Lucia,750mL,3,28.99,2016-12-31
53_HILLFAR_3214,53,HILLFAR,3214,Ciroc Mango Vodka,750mL,14,24.99,2016-12-31
50_MOUNTMEND_19635,50,MOUNTMEND,19635,Ch St Jean Pnt Nr Sonoma Cst,750mL,1,19.99,2016-12-31
73_DONCASTER_4563,73,DONCASTER,4563,Christian Bros Brandy,1.75L,21,18.99,2016-12-31
45_VERITAS_13614,45,VERITAS,13614,Acrobat Pnt Nr Ore,750mL,15,18.99,2016-12-31
47_PELLA'S WISH_32055,47,PELLA'S WISH,32055,Greg Norman Eden Vly Chard,750mL,5,10.99,2016-12-31
51_ABERDEEN_6145,51,ABERDEEN,6145,Marcus James Cab Svgn,1.5L,10,7.99,2016-12-31
2_ASHBORNE_4890,2,ASHBORNE,4890,Skyy Infusion Tropical Mango,50mL,83,0.99,2016-12-31
81_PEMBROKE_8808,81,PEMBROKE,8808,Salignac VS Cognac,750mL,7,17.99,2016-12-31
21_BALERNO_33149,21,BALERNO,33149,Alamos Ridge Malbec Mendoza,750mL,67,8.99,2016-12-31
31_HORNSEY_43798,31,HORNSEY,43798,Trivento Select Mendz Malbec,750mL,14,10.49,2016-12-31
23_ARBINGTON_15827,23,ARBINGTON,15827,Frisk Prickly Rsl,750mL,13,9.99,2016-12-31
55_DRY GULCH_2759,55,DRY GULCH,2759,Johnnie Walker Red Label,375mL,30,13.99,2016-12-31
60_IRRAGIN_32479,60,IRRAGIN,32479,Danzante Del Vnzi Pnt Grigio,750mL,73,10.99,2016-12-31
81_PEMBROKE_45035,81,PEMBROKE,45035,Hess Clctn 19 Block Cuvee,750mL,5,34.99,2016-12-31
33_HORNSEY_16179,33,HORNSEY,16179,Perrier Jouet Blason Rose,750mL,5,49.99,2016-12-31
13_TARMSWORTH_11219,13,TARMSWORTH,11219,Josh Cellars Cab Svgn,750mL,76,12.99,2016-12-31
62_KILMARNOCK_31320,62,KILMARNOCK,31320,La Vieille Ferme Rose Vntoux,750mL,13,6.99,2016-12-31
49_GARIGILL_5101,49,GARIGILL,5101,Dr McGillicuddy's Mentholmnt,750mL,28,13.99,2016-12-31
73_DONCASTER_4701,73,DONCASTER,4701,Fabrizia Limoncello,750mL,93,16.99,2016-12-31
10_HORNSEY_39254,10,HORNSEY,39254,Las Rocas Garnacha San Alej,750mL,31,11.99,2016-12-31
20_BREDWARDINE_8728,20,BREDWARDINE,8728,Blue Nun Authentic White,1.5L,9,13.99,2016-12-31
47_PELLA'S WISH_39479,47,PELLA'S WISH,39479,Barefoot Premium X-Dry,750mL,20,6.95,2016-12-31
38_GOULCREST_3987,38,GOULCREST,3987,Smirnoff Peppermint Twist,750mL,32,10.99,2016-12-31
57_LANTEGLOS_39708,57,LANTEGLOS,39708,R Mondavi Pvt Sln Pnt Grigio,750mL,35,8.99,2016-12-31
7_STANMORE_20447,7,STANMORE,20447,Barefoot Bubbly Pink Moscato,187mL 4 Pk,3,9.99,2016-12-31
38_GOULCREST_20057,38,GOULCREST,20057,Ch Lascombes 10 Brdx,750mL,24,179.99,2016-12-31
57_LANTEGLOS_3893,57,LANTEGLOS,3893,Zhenka 80 Proof,1.75L,31,9.99,2016-12-31
4_EANVERNESS_3533,4,EANVERNESS,3533,Lidestri Pink Limoncello,750mL,2,18.99,2016-12-31
29_AYLESBURY_8590,29,AYLESBURY,8590,Arrow Peppermint Schnapps,750mL,3,7.99,2016-12-31
69_MOUNTMEND_22914,69,MOUNTMEND,22914,Mount Veeder Cab Svgn,750mL,16,28.99,2016-12-31
67_EANVERNESS_2863,67,EANVERNESS,2863,The Deveron 12 Yr Scotch,750mL,15,44.99,2016-12-31
1_HARDERSFIELD_2790,1,HARDERSFIELD,2790,High West American Prairie,750mL,10,29.99,2016-12-31
41_LARNWICK_15252,41,LARNWICK,15252,Bota Mini Chard,500mL,9,3.99,2016-12-31
63_SWORDBREAK_2518,63,SWORDBREAK,2518,Woodford Reserve Double Oak,750mL,8,50.99,2016-12-31
74_PAENTMARWY_2322,74,PAENTMARWY,2322,Redemption Rye 7Yr Barrel Pr,750mL,9,79.99,2016-12-31
29_AYLESBURY_4798,29,AYLESBURY,4798,Sambuca Romana Liqueur,50mL,46,1.99,2016-12-31
36_LEWES_2432,36,LEWES,2432,Crown Royal,750mL,39,22.99,2016-12-31
49_GARIGILL_4272,49,GARIGILL,4272,Smith & Cross Jamacian Rum,750mL,14,27.99,2016-12-31
41_LARNWICK_18368,41,LARNWICK,18368,Sequin Delicately Pnt Grigio,750mL,13,7.99,2016-12-31
73_DONCASTER_8612,73,DONCASTER,8612,Grand Marnier,1.75L,17,59.99,2016-12-31
54_GUTHRAM_15980,54,GUTHRAM,15980,Moonlight Meadery Apple Pie,375mL,24,12.99,2016-12-31
10_HORNSEY_5616,10,HORNSEY,5616,Emmets Irish Cream,1.75L,8,19.99,2016-12-31
56_BEGGAR'S HOLE_3780,56,BEGGAR'S HOLE,3780,Three Olives Raspberry Vodk,750mL,16,14.99,2016-12-31
27_MOUNTMEND_3883,27,MOUNTMEND,3883,Hornitos Lime Shot Tequila,750mL,9,22.99,2016-12-31
70_KELD_10957,70,KELD,10957,Seaglass Svgn Bl Snt Barbara,750mL,21,8.99,2016-12-31
23_ARBINGTON_20791,23,ARBINGTON,20791,Belle Ambiance Pnt Grigio,750mL,7,7.99,2016-12-31
57_LANTEGLOS_22079,57,LANTEGLOS,22079,C Y Toro Casa Diblo Cab Svgn,750mL,25,9.99,2016-12-31
