inventoryid,store,brand,productname,size,vendorid,vendorname,invoiceno,podate,receivingdate,invoicedate,paydate,unitprice,quantity,totalamount,classification,size_ml
54_GUTHRAM_2057,54,2057,Rebel Yell Root Beer Bourbon,50mL,8352,LUXCO INC,11719,2016-08-19,2016-08-26,2016-09-04,2016-10-13,0.77,120,92.4,1,50.0
76_DONCASTER_21609,76,21609,Josh Cellars Legacy Red,750mL,4425,MARTIGNETTI COMPANIES,11928,2016-09-02,2016-09-06,2016-09-14,2016-10-24,9.58,12,114.96,2,750.0
64_CESTERFIELD_5090,64,5090,El Charro Silver Tequila,750mL,8004,SAZERAC CO INC,12476,2016-10-05,2016-10-13,2016-10-24,2016-12-03,10.23,12,122.76,1,750.0
73_DONCASTER_3915,73,3915,Sauza Silver Tequila,750mL,12546,JIM BEAM BRANDS COMPANY,12222,2016-09-22,2016-09-27,2016-10-04,2016-11-03,9.48,24,227.52,1,750.0
57_LANTEGLOS_3041,57,3041,Zhenka Pink Lemonade Vodka,1.75L,9552,M S WALKER INC,12115,2016-09-15,2016-09-23,2016-09-26,2016-11-06,5.83,5,29.15,1,1750.0
6_GOULCREST_23861,6,23861,Concannon Founder Chard,750mL,9815,WINE GROUP INC,11833,2016-08-26,2016-08-29,2016-09-07,2016-10-08,5.95,9,53.55,2,750.0
55_DRY GULCH_13179,55,13179,Cinquante-Cinq Viogn Lang Wh,750mL,90011,FORTUNE WINE BROKERS LLC,10359,2016-05-24,2016-05-31,2016-06-11,2016-07-12,9.03,12,108.36,2,750.0
33_HORNSEY_42099,33,42099,Bota Box Pnt Grigio Cal,3L,2242,DELICATO VINEYARDS INC,9494,2016-03-24,2016-03-29,2016-04-12,2016-05-10,11.4,3,34.2,2,3000.0
15_WANBORNE_14342,15,14342,Cupcake Pnt Nr,750mL,9815,WINE GROUP INC,11936,2016-09-02,2016-09-09,2016-09-19,2016-10-18,4.6,9,41.4,2,750.0
64_CESTERFIELD_1233,64,1233,Jack Daniels No 7 Black,1.75L,1128,BROWN-FORMAN CORP,10224,2016-05-15,2016-05-26,2016-06-05,2016-07-14,26.27,12,315.24,1,1750.0
74_PAENTMARWY_8658,74,8658,Absente 'Absinthe Refined',750mL,6213,MHW LTD,9235,2016-03-07,2016-03-18,2016-03-21,2016-05-02,24.28,3,72.84,1,750.0
49_GARIGILL_6655,49,6655,Carlo Rossi Paisano Calif,1.5L,3252,E & J GALLO WINERY,10953,2016-06-28,2016-07-06,2016-07-13,2016-08-14,4.79,6,28.74,2,1500.0
42_BLACK HOLLOW_31489,42,31489,Barefoot Chard Cal,1.5L,3252,E & J GALLO WINERY,8999,2016-02-19,2016-02-24,2016-02-29,2016-04-10,5.71,6,34.26,2,1500.0
43_WOLFORD_14006,43,14006,Apothic Winemakers Red Blend,750mL,3252,E & J GALLO WINERY,8238,2015-12-29,2016-01-06,2016-01-18,2016-02-14,5.44,12,65.28,2,750.0
55_DRY GULCH_32989,55,32989,Barefoot Cab Svgn Cal,1.5L,3252,E & J GALLO WINERY,10617,2016-06-10,2016-06-15,2016-06-24,2016-08-01,5.78,3,17.34,2,1500.0
