inventoryid,store,brand,productname,size,quantity,totalamount,unitprice,invoicedate,volume,classification,excisetax,vendorid,vendorname,size_ml
71_CLARCTON_5381,71,5381,E&J Peach Brandy,50mL,2,1.98,0.99,2016-01-26,50,1,0.1,3252,E & J GALLO WINERY         ,50.0
1_HARDERSFIELD_10421,1,10421,Barefoot Moscato Cal,1.5L,1,11.99,11.99,2016-02-10,1500,2,0.22,3252,E & J GALLO WINERY         ,1500.0
79_BALLYMENA_3699,79,3699,Chopin Vodka,1.75L,1,39.99,39.99,2016-01-17,1750,1,1.84,6213,MHW LTD                    ,1750.0
71_CLARCTON_8693,71,8693,Ezra Brooks,750mL,1,9.99,9.99,2016-01-05,750,1,0.79,8352,LUXCO INC                  ,750.0
66_EANVERNESS_2800,66,2800,Laphroaig 15 Yr Single Malt,750mL,2,159.98,79.99,2016-01-17,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    ,750.0
34_PITMERDEN_25649,34,25649,De Loach Chard Cal,750mL,3,29.97,9.99,2016-01-21,750,2,0.34,4425,MARTIGNETTI COMPANIES,750.0
4_EANVERNESS_12771,4,12771,Joel Gott Cab Svgn 815,750mL,2,27.98,13.99,2016-01-30,750,2,0.22,8892,TRINCHERO FAMILY ESTATES   ,750.0
69_MOUNTMEND_6654,69,6654,Veuve Clicquot Brut Yellow,750mL,1,44.99,44.99,2016-01-25,750,2,0.11,8112,MOET HENNESSY USA INC      ,750.0
41_LARNWICK_2496,41,2496,Crown Royal Black,1.75L,1,52.99,52.99,2016-01-17,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,1750.0
1_HARDERSFIELD_8670,1,8670,Arrow Coffee Brandy,1.75L,1,11.99,11.99,2016-01-27,1750,1,1.84,8352,LUXCO INC                  ,1750.0
66_EANVERNESS_22447,66,22447,Pizzolato Pnt Grigio,750mL,1,6.99,6.99,2016-01-03,750,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
67_EANVERNESS_4198,67,4198,Sailor Jerry Spiced Navy Rum,1.75L,1,24.99,24.99,2016-01-06,1750,1,1.84,3664,WILLIAM GRANT & SONS INC   ,1750.0
76_DONCASTER_6478,76,6478,C Y Toro Frontera Merlot,1.5L,1,8.99,8.99,2016-01-17,1500,2,0.22,516,BANFI PRODUCTS CORP        ,1500.0
66_EANVERNESS_6599,66,6599,Estancia Cab Svgn Paso Roble,750mL,7,90.93,12.99,2016-01-16,750,2,0.79,1392,CONSTELLATION BRANDS INC   ,750.0
10_HORNSEY_1397,10,1397,Jim Beam Kentucky Fire,750mL,1,14.49,14.49,2016-01-20,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
69_MOUNTMEND_2648,69,2648,Chivas Regal,375mL,1,17.99,17.99,2016-01-12,375,1,0.39,17035,PERNOD RICARD USA          ,375.0
16_LUNDY_8691,16,8691,Jose Cuervo Especial,750mL,1,14.99,14.99,2016-02-13,750,1,0.79,7245,PROXIMO SPIRITS INC.       ,750.0
42_BLACK HOLLOW_29212,42,29212,R Mondavi Merlot Pvt Sel,750mL,1,8.99,8.99,2016-01-05,750,2,0.11,1392,CONSTELLATION BRANDS INC   ,750.0
50_MOUNTMEND_5316,50,5316,Amaretto DiSaronno,50mL,3,6.87,2.29,2016-01-06,50,1,0.16,2555,DISARONNO INTERNATIONAL LLC,50.0
66_EANVERNESS_7224,66,7224,Jagermeister Spice,750mL,2,31.98,15.99,2016-01-29,750,1,1.57,3089,SIDNEY FRANK IMPORTING CO  ,750.0
73_DONCASTER_7992,73,7992,Patron Anejo Tequila,50mL,1,6.99,6.99,2016-01-14,50,1,0.05,9165,ULTRA BEVERAGE COMPANY LLP ,50.0
7_STANMORE_1233,7,1233,Jack Daniels No 7 Black,1.75L,5,179.95,35.99,2016-01-28,1750,1,9.19,1128,BROWN-FORMAN CORP          ,1750.0
59_CLAETHORPES_1886,59,1886,Seagrams 7 Crown,750mL,1,10.99,10.99,2016-01-26,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,750.0
70_KELD_126,70,126,Grey Goose Vodka,Liter,2,59.98,29.99,2016-01-03,1000,1,2.1,480,BACARDI USA INC            ,
53_HILLFAR_4447,53,4447,Patron XO Cafe Dark Cocoa,750mL,1,26.99,26.99,2016-01-13,750,1,0.79,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
60_IRRAGIN_43618,60,43618,Moillard CdR Violettes Rouge,750mL,1,12.99,12.99,2016-01-23,750,2,0.11,10754,PERFECTA WINES             ,750.0
6_GOULCREST_3804,6,3804,Svedka Vodka,750mL,3,29.97,9.99,2016-01-25,750,1,2.36,1392,CONSTELLATION BRANDS INC   ,750.0
34_PITMERDEN_3529,34,3529,U V Vodka,1.75L,14,195.86,13.99,2016-01-23,1750,1,25.72,9206,PHILLIPS PRODUCTS CO.      ,1750.0
68_SOLARIS_3919,68,3919,Hornitos Reposado Tequila,375mL,1,11.49,11.49,2016-01-25,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    ,375.0
17_OLDHAM_2120,17,2120,Canadian Club,1.75L,5,79.95,15.99,2016-01-27,1750,1,9.19,12546,JIM BEAM BRANDS COMPANY    ,1750.0
6_GOULCREST_811,6,811,Jack Daniels No 7 Black,Liter,2,63.98,31.99,2016-01-16,1000,1,2.1,1128,BROWN-FORMAN CORP          ,
69_MOUNTMEND_11238,69,11238,Willamette Whole Clst Pnt Nr,750mL,1,19.99,19.99,2016-01-16,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE ,750.0
17_OLDHAM_4494,17,4494,Jenkins French Brandy,1.75L,5,84.95,16.99,2016-01-25,1750,1,9.19,9552,M S WALKER INC             ,1750.0
66_EANVERNESS_44186,66,44186,H Brunier Telegramme Pape,750mL,2,89.98,44.99,2016-01-08,750,2,0.22,4425,MARTIGNETTI COMPANIES,750.0
13_TARMSWORTH_32831,13,32831,Carpineto Dogajolo Tuscan Rd,750mL,1,9.99,9.99,2016-01-31,750,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
21_BALERNO_46762,21,46762,Clayhouse Cab Svgn Paso Rbls,750mL,3,35.97,11.99,2016-01-11,750,2,0.34,4425,MARTIGNETTI COMPANIES,750.0
53_HILLFAR_3219,53,3219,Svedka Grapefruit Jalapeno,50mL,1,0.99,0.99,2016-01-25,50,1,0.05,1392,CONSTELLATION BRANDS INC   ,50.0
71_CLARCTON_4157,71,4157,Smirnoff Green Apple Vodka,50mL,5,4.95,0.99,2016-01-25,50,1,0.26,3960,DIAGEO NORTH AMERICA INC   ,50.0
49_GARIGILL_5447,49,5447,Jagermeister Liqueur,375mL,2,19.98,9.99,2016-01-13,375,1,0.79,3089,SIDNEY FRANK IMPORTING CO  ,375.0
3_HORNSEY_34428,3,34428,Frei Bros RSV Chard RRV,750mL,2,33.98,16.99,2016-01-29,750,2,0.22,3252,E & J GALLO WINERY         ,750.0
15_WANBORNE_38131,15,38131,Principato Pnt Gr Sicilia,1.5L,2,19.98,9.99,2016-01-22,1500,2,0.45,6785,PALM BAY INTERNATIONAL INC ,1500.0
56_BEGGAR'S HOLE_6479,56,6479,Clos du Bois Chard,750mL,1,9.99,9.99,2016-01-13,750,2,0.11,1392,CONSTELLATION BRANDS INC   ,750.0
57_LANTEGLOS_5760,57,5760,Grand Marnier Rasp-Peach,50mL,2,3.98,1.99,2016-01-03,50,1,0.1,8112,MOET HENNESSY USA INC      ,50.0
64_CESTERFIELD_31487,64,31487,Barefoot Bubbly Brut Cve,750mL,4,39.96,9.99,2016-01-06,750,2,0.45,3252,E & J GALLO WINERY         ,750.0
58_HARTLEPOOL_5491,58,5491,Rumpleminze,50mL,7,13.93,1.99,2016-01-23,50,1,0.37,3960,DIAGEO NORTH AMERICA INC   ,50.0
41_LARNWICK_5315,41,5315,B & B Liqueur Dom,750mL,1,24.99,24.99,2016-01-12,750,1,0.79,480,BACARDI USA INC            ,750.0
68_SOLARIS_28889,68,28889,Peter Vella Chard Cal B/B,5L,2,30.98,15.49,2016-01-12,5000,2,1.5,3252,E & J GALLO WINERY         ,5000.0
73_DONCASTER_3928,73,3928,Barcraft Watermelon Fresca V,750mL,1,11.99,11.99,2016-01-24,750,1,0.79,11567,CAMPARI AMERICA            ,750.0
76_DONCASTER_3913,76,3913,Svedka Vodka,1.75L,17,305.83,17.99,2016-01-03,1750,1,31.24,1392,CONSTELLATION BRANDS INC   ,1750.0
40_BULLMAR_32592,40,32592,Mionetto Frizzante Prosecco,750mL,1,18.99,18.99,2016-01-21,750,2,0.11,9552,M S WALKER INC             ,750.0
2_ASHBORNE_33348,2,33348,Greg Norman Limestone Shiraz,750mL,5,54.95,10.99,2016-01-02,750,2,0.56,9819,TREASURY WINE ESTATES      ,750.0
23_ARBINGTON_18950,23,18950,Schug Pnt Nr Carneros,750mL,6,107.94,17.99,2016-01-23,750,2,0.68,4425,MARTIGNETTI COMPANIES,750.0
4_EANVERNESS_16794,4,16794,Freakshow Cab Svgn,750mL,2,37.98,18.99,2016-01-21,750,2,0.22,4425,MARTIGNETTI COMPANIES,750.0
69_MOUNTMEND_3183,69,3183,Jose Cuervo Tradicional Slvr,750mL,1,19.99,19.99,2016-01-09,750,1,0.79,7245,PROXIMO SPIRITS INC.       ,750.0
34_PITMERDEN_4664,34,4664,Hennessy Black Cognac,750mL,1,34.99,34.99,2016-01-02,750,1,0.79,8112,MOET HENNESSY USA INC      ,750.0
17_OLDHAM_6499,17,6499,Kinky Liqueur,750mL,1,16.99,16.99,2016-01-02,750,1,0.79,7153,PINE STATE TRADING CO      ,750.0
6_GOULCREST_3216,6,3216,Fleischmanns X Dry Gin,1.75L,1,9.99,9.99,2016-01-03,1750,1,1.84,660,SAZERAC NORTH AMERICA INC. ,1750.0
